title,artist,rank,genre
Outside,MO3 X OG Bobby Billions,98,hip-hop-rb-songs
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",99,hip-hop-rb-songs
Rags2Riches,Rod Wave Featuring ATR Son Son,100,hip-hop-rb-songs
First Class,Jack Harlow,1,hip-hop-rb-songs
Wait For U,Future Featuring Drake & Tems,2,hip-hop-rb-songs
Big Energy,Latto,3,hip-hop-rb-songs
About Damn Time,Lizzo,4,hip-hop-rb-songs
Super Gremlin,Kodak Black,5,hip-hop-rb-songs
Industry Baby,Lil Nas X & Jack Harlow,6,hip-hop-rb-songs
Bad Habit,Steve Lacy,7,hip-hop-rb-songs
Jimmy Cooks,Drake Featuring 21 Savage,8,hip-hop-rb-songs
Woman,Doja Cat,9,hip-hop-rb-songs
Break My Soul,Beyonce,10,hip-hop-rb-songs
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),11,hip-hop-rb-songs
I Hate U,SZA,12,hip-hop-rb-songs
Pushin P,Gunna & Future Featuring Young Thug,13,hip-hop-rb-songs
In A Minute,Lil Baby,14,hip-hop-rb-songs
Super Freaky Girl,Nicki Minaj,15,hip-hop-rb-songs
Hrs And Hrs,Muni Long,16,hip-hop-rb-songs
Knife Talk,Drake Featuring 21 Savage & Project Pat,17,hip-hop-rb-songs
Broadway Girls,Lil Durk Featuring Morgan Wallen,18,hip-hop-rb-songs
Puffin On Zootiez,Future,19,hip-hop-rb-songs
To The Moon!,JNR CHOI & Sam Tompkins,20,hip-hop-rb-songs
Way 2 Sexy,Drake Featuring Future & Young Thug,21,hip-hop-rb-songs
What Happened To Virgil,Lil Durk Featuring Gunna,22,hip-hop-rb-songs
Sleazy Flow,SleazyWorld Go Featuring Lil Baby,23,hip-hop-rb-songs
Girls Want Girls,Drake Featuring Lil Baby,24,hip-hop-rb-songs
Cooped Up,Post Malone Featuring Roddy Ricch,25,hip-hop-rb-songs
Sticky,Drake,26,hip-hop-rb-songs
Free Mind,Tems,27,hip-hop-rb-songs
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",28,hip-hop-rb-songs
F.N.F. (Let's Go),Hitkidd & GloRilla,29,hip-hop-rb-songs
Do We Have A Problem?,Nicki Minaj X Lil Baby,30,hip-hop-rb-songs
No Love,Summer Walker & SZA,31,hip-hop-rb-songs
Right On,Lil Baby,32,hip-hop-rb-songs
Staying Alive,DJ Khaled Featuring Drake & Lil Baby,33,hip-hop-rb-songs
Peru,Fireboy DML & Ed Sheeran,34,hip-hop-rb-songs
Essence,Wizkid Featuring Justin Bieber & Tems,35,hip-hop-rb-songs
You Right,Doja Cat & The Weeknd,36,hip-hop-rb-songs
Freaky Deaky,Tyga X Doja Cat,37,hip-hop-rb-songs
By Your Side,Rod Wave,38,hip-hop-rb-songs
Ahhh Ha,Lil Durk,39,hip-hop-rb-songs
Cuff It,Beyonce,40,hip-hop-rb-songs
Me Or Sum,"Nardo Wick, Lil Baby & Future",41,hip-hop-rb-songs
Hotel Lobby (Unc And Phew),Quavo & Takeoff,42,hip-hop-rb-songs
Get Into It (Yuh),Doja Cat,43,hip-hop-rb-songs
Pressure,Ari Lennox,44,hip-hop-rb-songs
Nail Tech,Jack Harlow,45,hip-hop-rb-songs
Under The Influence,Chris Brown,46,hip-hop-rb-songs
Hot Shit,"Cardi B, Ye & Lil Durk",47,hip-hop-rb-songs
Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",48,hip-hop-rb-songs
Die For You,The Weeknd,49,hip-hop-rb-songs
Sacrifice,The Weeknd,50,hip-hop-rb-songs
Silent Hill,Kendrick Lamar & Kodak Black,51,hip-hop-rb-songs
Banking On Me,Gunna,52,hip-hop-rb-songs
P Power,Gunna Featuring Drake,53,hip-hop-rb-songs
Have Mercy,Chloe,54,hip-hop-rb-songs
N95,Kendrick Lamar,55,hip-hop-rb-songs
Handsomer,Russ Featuring Ktlyn,56,hip-hop-rb-songs
For Tonight,Giveon,57,hip-hop-rb-songs
Scorpio,Moneybagg Yo,58,hip-hop-rb-songs
Plan B,Megan Thee Stallion,59,hip-hop-rb-songs
All Mine,Brent Faiyaz,60,hip-hop-rb-songs
Hate Our Love,Queen Naija & Big Sean,61,hip-hop-rb-songs
Too Easy,Gunna & Future,62,hip-hop-rb-songs
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",63,hip-hop-rb-songs
Love You Better,Future,64,hip-hop-rb-songs
Out Of Time,The Weeknd,65,hip-hop-rb-songs
Tomorrow 2,GloRilla & Cardi B,66,hip-hop-rb-songs
Rumors,Gucci Mane Featuring Lil Durk,67,hip-hop-rb-songs
Dah Dah DahDah,Nardo Wick,68,hip-hop-rb-songs
Beautiful Lies,Yung Bleu & Kehlani,69,hip-hop-rb-songs
DFMU,Ella Mai,70,hip-hop-rb-songs
Wild Side,Normani Featuring Cardi B,71,hip-hop-rb-songs
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,72,hip-hop-rb-songs
Good Love,City Girls & Usher,73,hip-hop-rb-songs
Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",74,hip-hop-rb-songs
Bad Man (Smooth Criminal),Polo G,75,hip-hop-rb-songs
Bubbly,Young Thug With Drake & Travis Scott,76,hip-hop-rb-songs
See Wat I'm Sayin,Moneybagg Yo,77,hip-hop-rb-songs
Billie Eilish.,Armani White,78,hip-hop-rb-songs
Family Ties,Baby Keem & Kendrick Lamar,79,hip-hop-rb-songs
I'm On One,Future Featuring Drake,80,hip-hop-rb-songs
Already Dead,Juice WRLD,81,hip-hop-rb-songs
Alone,Rod Wave,82,hip-hop-rb-songs
Alien Superstar,Beyonce,83,hip-hop-rb-songs
Fair Trade,Drake Featuring Travis Scott,84,hip-hop-rb-songs
Gotta Move On,Diddy & Bryson Tiller,85,hip-hop-rb-songs
Megan's Piano,Megan Thee Stallion,86,hip-hop-rb-songs
Money So Big,Yeat,87,hip-hop-rb-songs
Poke It Out,Wale Featuring J. Cole,88,hip-hop-rb-songs
Static,Steve Lacy,89,hip-hop-rb-songs
Don't Play That,King Von & 21 Savage,90,hip-hop-rb-songs
True Love,Kanye West & XXXTENTACION,91,hip-hop-rb-songs
Worst Day,Future,92,hip-hop-rb-songs
712PM,Future,93,hip-hop-rb-songs
Iffy,Chris Brown,94,hip-hop-rb-songs
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,95,hip-hop-rb-songs
Scared Money,YG Featuring J. Cole & Moneybagg Yo,96,hip-hop-rb-songs
Freestyle,Lil Baby,97,hip-hop-rb-songs
Ex For A Reason,Summer Walker & JT,98,hip-hop-rb-songs
Over,Lucky Daye,99,hip-hop-rb-songs
Vette Motors,YoungBoy Never Broke Again,100,hip-hop-rb-songs
