title,artist,rank,genre
Jericho,Andrew Ripp,91,christian
This Could Change Everything,Francesca Battistelli,92,christian
Never Lost,Elevation Worship Featuring Tauren Wells,93,christian
Faithful God,I AM THEY,94,christian
Wanted,Danny Gokey,95,christian
Sparrows,Cory Asbury,96,christian
There's Nothing Our God Can't,Passion,97,christian
Blessing I Can't See,Building 429 Featuring Brooke DeLeary,98,christian
I'm Listening,Chris McClarney Featuring Hollyn,99,christian
Ordinary,Hannah Kerr,100,christian
You Say,Lauren Daigle,1,christian
Hurricane,Kanye West,2,christian
Good God Almighty,Crowder,3,christian
Battle Belongs,Phil Wickham,4,christian
Hold On To Me,Lauren Daigle,5,christian
My Jesus,Anne Wilson,6,christian
Graves Into Gardens,Elevation Worship Featuring Brandon Lake,7,christian
Less Like Me,Zach Williams,8,christian
Help Is On The Way (Maybe Midnight),tobyMac,9,christian
Moon,Kanye West,10,christian
Off The Grid,Kanye West,11,christian
Truth Be Told,Matthew West,12,christian
Say I Won't,MercyMe,13,christian
Praise God,Kanye West,14,christian
Scars In Heaven,Casting Crowns,15,christian
Rattle!,Elevation Worship,16,christian
Be Alright,Evan Craft x Danny Gokey x Redimi2,17,christian
Jail,Kanye West,18,christian
Amen,for KING & COUNTRY,19,christian
House Of The Lord,Phil Wickham,20,christian
Believe For It,CeCe Winans,21,christian
Child Of Love,We The Kingdom Featuring Bear Rinehart,22,christian
Jireh,Elevation Worship & Maverick City Music Featuring Chandler Moore & Naomi Raine,23,christian
Fires,Jordan St. Cyr,24,christian
Ok Ok,Kanye West,25,christian
Hallelujah,Carrie Underwood & John Legend,26,christian
Favorite Time Of Year,Carrie Underwood,27,christian
Rise Up (Lazarus),CAIN,28,christian
Gospel Song,Rhett Walker,29,christian
Junya,Kanye West,30,christian
Sparrows,Cory Asbury,31,christian
Yes He Can,CAIN,32,christian
Until Grace,Tauren Wells & Rascal Flatts,33,christian
Jericho,Andrew Ripp,34,christian
Promises,Maverick City Music Featuring Joe L. Barnes & Naomi Raine,35,christian
Out Of My Hands,Jeremy Camp,36,christian
What If,Matthew West,37,christian
Believe What I Say,Kanye West,38,christian
Look What You've Done,Tasha Layton,39,christian
Next To Me,Jordan Feliz,40,christian
Jonah,Kanye West,41,christian
Jesus Lord,Kanye West,42,christian
God Who Listens,Chris Tomlin Featuring Thomas Rhett,43,christian
Start Right Here,Casting Crowns,44,christian
Famous For (I Believe),Tauren Wells Featuring Jenn Johnson,45,christian
When You Speak,Jeremy Camp,46,christian
Pure Souls,Kanye West,47,christian
Remote Control,Kanye West,48,christian
Silent Night,Carrie Underwood,49,christian
All Things New,Big Daddy Weave,50,christian
Heaven And Hell,Kanye West,51,christian
24,Kanye West,52,christian
Evidence,Josh Baldwin,53,christian
New Day,Danny Gokey,54,christian
No Child Left Behind,Kanye West,55,christian
Who You Are To Me,Chris Tomlin Featuring Lady A,56,christian
Joyful,Dante Bowe,57,christian
Image Of God,We Are Messengers,58,christian
God Breathed,Kanye West,59,christian
When We Fall Apart,Ryan Stevenson,60,christian
Wait On You,Elevation Worship & Maverick City Music Featuring Dante Bowe & Chandler Moore,61,christian
Keep My Spirit Alive,Kanye West,62,christian
There Was Jesus,Zach Williams & Dolly Parton,63,christian
Jail Pt 2,Kanye West,64,christian
Relate,for KING & COUNTRY,65,christian
Another In The Fire,Hillsong UNITED & TAYA,66,christian
New Again,Kanye West,67,christian
Lord I Need You,Kanye West,68,christian
Come To Life,Kanye West,69,christian
Even At My Worst,Blanca,70,christian
Talking To Jesus,Elevation Worship & Maverick City Music Featuring Brandon Lake,71,christian
Donda,Kanye West,72,christian
Keep On Hoping,Riley Clemmons,73,christian
God So Loved,We The Kingdom,74,christian
Who Am I,NEEDTOBREATHE,75,christian
New Today,Micah Tyler,76,christian
Amazing Grace (My Chains Are Gone),Pentatonix,77,christian
Come What May,We Are Messengers,78,christian
Every Step Of The Way,Cade Thompson,79,christian
Stand In Faith,Danny Gokey,80,christian
Who Can,Cochren & Co.,81,christian
Know You Will,Hillsong UNITED,82,christian
Peace Be Still,Hope Darst,83,christian
The Blessing: Live,"Kari Jobe, Cody Carnes & Elevation Worship",84,christian
Tell The Vision,Kanye West,85,christian
Wake Up Sleeper,Austin French,86,christian
No Hopeless Soul,Stephen Stanley,87,christian
Look No Further,Evvie McKinney,88,christian
My God Is Still The Same,Sanctus Real,89,christian
In The House,Crowder,90,christian
Rejoice,Andrew Ripp,91,christian
Faithful God,I AM THEY,92,christian
I Wanna Remember,NEEDTOBREATHE Featuring Carrie Underwood,93,christian
Run To The Father,Matt Maher,94,christian
Little Drummer Boy,Carrie Underwood Featuring Isaiah Fisher,95,christian
Million Little Miracles,Elevation Worship & Maverick City Music Featuring Joe L Barnes,96,christian
Coming In Hot,Lecrae & Andy Mineo,97,christian
Magnetic,newsboys,98,christian
Old Church Basement,Elevation Worship & Maverick City Music Featuring Dante Bowe,99,christian
Survival,NEEDTOBREATHE Featuring Drew & Ellie Holcomb,100,christian
In Jesus Name (God Of Possible),Katy Nichole,1,christian
Praise God,Kanye West,2,christian
Promises,Maverick City Music Featuring Joe L. Barnes & Naomi Raine,3,christian
Hurricane,Kanye West,4,christian
For God Is With Us,for KING & COUNTRY,5,christian
Brighter Days,Blessing Offor,6,christian
Hymn Of Heaven,Phil Wickham,7,christian
Heart Of The Father,Ryan Ellis,8,christian
In The House,Crowder,9,christian
Weary Traveler,Jordan St. Cyr,10,christian
Relate,for KING & COUNTRY,11,christian
Come What May,We Are Messengers,12,christian
"God, Turn It Around",Jon Reddick,13,christian
Me On Your Mind,Matthew West,14,christian
Jesus Is Coming Back,"Jordan Feliz, Jonathan Traylor & Mandisa",15,christian
See Me Through It,Brandon Heath,16,christian
House Of The Lord,Phil Wickham,17,christian
Sunday Sermons,Anne Wilson,18,christian
My God Is Still The Same,Sanctus Real,19,christian
The Commission,CAIN,20,christian
The Goodness,tobyMac Featuring Blessing Offor,21,christian
My Jesus,Anne Wilson,22,christian
Fill My Cup,Andrew Ripp,23,christian
Getting Started,Jeremy Camp,24,christian
Off The Grid,Kanye West,25,christian
Honey In The Rock,Brooke Ligertwood & Brandon Lake,26,christian
Promised Land,tobyMac,27,christian
Same God,Elevation Worship Featuring Jonsal Barrientes,28,christian
Always,Chris Tomlin,29,christian
For The Good,Riley Clemmons,30,christian
Moon,Kanye West,31,christian
How Far,Tasha Layton,32,christian
God Is In This Story,Katy Nichole + Big Daddy Weave,33,christian
Stand In Faith,Danny Gokey,34,christian
Build A Boat,Colton Dixon,35,christian
Walking Free,Micah Tyler,36,christian
Who I Am,Ben Fuller,37,christian
Lion,Elevation Worship Featuring Chris Brown & Brandon Lake,38,christian
The Healing,Blanca & Dante Bowe,39,christian
Scars In Heaven,Casting Crowns,40,christian
I Will Carry You,Ellie Holcomb,41,christian
On Our Way,MercyMe Featuring Sam Wesley,42,christian
Look What You've Done,Tasha Layton,43,christian
Jireh,Maverick City Music Featuring Chandler Moore & Naomi Raine,44,christian
Heaven Help Me,Zach Williams,45,christian
Heart Of God,Zach Williams,46,christian
Egypt,Cory Asbury,47,christian
Believe What I Say,Kanye West,48,christian
Life Of The Party,Kanye West & Andre 3000,49,christian
Too Good To Not Believe,Brandon Lake X Bethel Music,50,christian
New Creation,Mac Powell,51,christian
Kingdom,Maverick City Music X Kirk Franklin Featuring Naomi Raine & Chandler Moore,52,christian
Thank God For Sunday Morning,Cochren & Co.,53,christian
We All Need Jesus,Danny Gokey With Koryn Hawthorne,54,christian
Good Lord,David Leonard,55,christian
Use This Gospel (Remix),DJ Khaled Featuring Kanye West & Eminem,56,christian
Hold You Tight,Dan Bremnes,57,christian
Miracle Power,We The Kingdom,58,christian
Desesperado,Evan Craft,59,christian
When You Speak,Jeremy Camp,60,christian
Bless Me,Maverick City Music X Kirk Franklin,61,christian
Then Christ Came,MercyMe,62,christian
Goodness Of God,CeCe Winans,63,christian
Fake It,Tauren Wells Featuring Aaron Cole,64,christian
What If,Matthew West,65,christian
Perfectly Loved,Rachael Lampa Featuring tobyMac,66,christian
Jail,Kanye West,67,christian
Gratitude,Brandon Lake,68,christian
Speak To The Mountains,Chris McClarney,69,christian
River Of Life,Mac Powell,70,christian
God Really Loves Us,Crowder & Dante Bowe Featuring Maverick City Music,71,christian
Don't Lose Heart,Steven Curtis Chapman,72,christian
I Am Yours,NEEDTOBREATHE,73,christian
Know You Will,Hillsong UNITED,74,christian
Dancing On The Waves,We The Kingdom,75,christian
Love Is Everything We Need,Unspoken,76,christian
Remote Control,Kanye West,77,christian
Say Goodbye (Say Hello),The Afters,78,christian
Good Feeling,Austin French,79,christian
God You Are,We Are Messengers Featuring Josh Baldwin,80,christian
Thank You Lord,Chris Tomlin Featuring Thomas Rhett & Florida Georgia Line,81,christian
Fear Is Not My Future,Maverick City Music X Kirk Franklin Featuring Brandon Lake & Chandler Moore,82,christian
Love Me Like I Am,for KING & COUNTRY With Jordin Sparks,83,christian
That's The Power,Hillsong Worship Featuring Benjamin Hastings,84,christian
For All My Life,TAYA,85,christian
I've Got Joy,CeCe Winans,86,christian
When I Pray,DOE,87,christian
Firm Foundation (He Won't),Maverick City Music Featuring Chandler Moore & Cody Carnes,88,christian
Talk 2 Me,Montell Fish,89,christian
Junya,Kanye West,90,christian
What I See,Elevation Worship Featuring Chris Brown,91,christian
Joy In The Morning,Tauren Wells,92,christian
Good Morning Mercy,Jason Crabb,93,christian
Pure Souls,Kanye West,94,christian
Things That I'm Afraid Of,Josh Wilson,95,christian
24,Kanye West,96,christian
Destroy Myself Just For You,Montell Fish,97,christian
God Is Good,Francesca Battistelli,98,christian
All Joy No Stress,Rhett Walker,99,christian
Jesus Lord,Kanye West,100,christian
